timestamp,x,y,z
145913,-49.5,-34.18,-19.23
146116,-10.62,2.5,7.57
146319,2.5,-0.79,5.13
146522,-1.46,-3.05,7.51
146726,0.43,4.27,1.28
146928,-2.69,5.37,-5.62
147131,2.93,-0.24,1.1
147334,4.46,-0.12,3.42
147537,-12.45,-4.94,-1.16
147741,1.16,-3.66,-1.95
147945,3.23,0.06,1.53
148149,1.53,3.3,-2.01
148353,36.62,-4.21,30.82
148556,385.13,-114.07,68.18
148759,-19.35,10.5,27.28
148964,-67.32,39.12,-66.96
149167,49.93,-68.3,-21.61
149371,-138.06,71.17,16.24
149574,-93.14,32.59,32.41
149776,-34.24,9.03,13.12
149982,-33.08,23.5,9.09
150185,27.1,3.91,1.77
150388,51.39,-18.25,-12.57
150591,348.21,-96.19,51.7
150794,-22.09,11.41,20.14
150998,32.9,-74.16,143.31
151202,-67.87,-36.25,41.5
151405,-299.99,-10.01,86.18
151608,-45.65,111.15,-8.06
151812,96.8,-26.12,35.89
152015,-21.85,-20.69,77.15
152218,42.85,-7.57,11.05
152420,144.17,-55.73,-226.14
152624,-259.52,95.21,-223.88
152827,-219.3,55.79,94.42
153029,-131.35,-49.32,-21.36
153235,-237.3,64.58,-12.76
153439,10.01,-12.02,7.14
153641,-15.81,-27.77,52.8
153845,25.82,21.73,34.97
154050,45.41,-50.54,22.4
154254,-94.97,21.79,73.49
154457,78.43,-28.2,-189.58
154661,-434.88,-152.77,140.44
154864,-104.68,145.57,-99.61
155069,-161.25,-90.21,152.34
155272,-13.18,86.43,70.13
155475,11.35,-48.71,-0.49
155678,127.87,20.2,-6.35
155880,270.08,-96.98,-214.11
156083,-56.21,-89.29,64.15
156286,-591.67,142.82,8.73
156488,-27.89,-5.31,17.09
156691,-207.46,20.39,18.98
156894,51.88,60.79,2.62
157098,-108.03,105.9,-37.11
157301,-323.24,151.25,-78.98
157503,95.64,-113.4,8.97
157706,193.91,5.13,2.08
157909,5.62,42.79,-45.78
158112,-50.78,6.41,130.31
158314,339.23,-1.89,19.78
158517,-196.11,-95.03,76.66
158720,3.36,62.56,-23.86
158922,425.9,-142.88,-69.89
159125,-94.48,174.19,224.3
159328,47.61,-72.75,-205.93
159532,-43.09,-4.52,-116.76
159738,4.82,25.57,16.05
159940,-117.25,32.41,60.0
160143,-27.77,149.84,144.65
160346,-14.22,48.1,-27.83
160548,34.85,83.31,165.28
160751,77.45,-171.08,-251.83
160953,-109.44,-87.83,91.74
161157,-50.42,-16.6,5.37
161360,-17.27,1.04,41.87
161562,-47.85,5.25,79.22
161765,-17.33,-28.56,-7.63
161967,12.94,-52.98,-44.01
162170,-58.65,103.58,-92.29
162373,84.05,-11.78,-128.6
162577,58.11,-4.88,88.93
162781,38.64,-21.79,16.91
